GEOID10,DP0010001,NEIGHBORS
48113007912,1818,"48113007819,48113007822,48113007909,48113007910,48113007911,48113007801,48113007906"
48113007822,1085,"48113007819,48113007815,48113007912,48113013104,48113013105,48113007823,48113007801,48113007906"
48113007823,1413,"48113007822,48113007815,48113007805,48113007812,48113013104,48113013105,48113013101"
48113019040,5951,"48113013200,48113019208,48113019202,48113019100,48113019039,48113019041,48113007804,48113019213,48113019016,48113019018"
48113019041,2910,"48113019034,48113019040,48113019016,48113019018"
48113013722,3633,"48113013721,48113020700,48113013727,48113013725,48085031704,48121021638,48121021637,48121021636"
48113013725,3615,"48113013722,48113020700,48113013727"
48113013803,5657,"48113020700,48113013727,48113013804,48113013805,48113013726,48113013806,48113013712,48113013715,48113013902,48113014001"
48113013804,3169,"48113009608,48113013806,48113013803,48113013902,48113014001,48113009605"
48113013901,3298,"48113014002,48113013711,48113013714,48113013713,48113013902,48113014001"
48113013902,4184,"48113013804,48113013711,48113013712,48113013714,48113013803,48113013901,48113014001"
48113014001,3705,"48113014002,48113013804,48113013803,48113013901,48113013902,48113009605,48113009900"
48113014002,209,"48113014123,48113013717,48113013716,48113013719,48113014130,48113014121,48113013714,48113013713,48113013901,48113014001,48113009900,48121021738"
48113014103,3015,"48113980000,48113014114,48113014133,48113014136,48113014124,48113014310,48113014312,48113014311,48113014309,48113014137"
48113008604,3077,"48113008701,48113008603,48113008802,48113008801"
48113005902,4101,"48113005600,48113011002,48113011200,48113005901,48113006002"
48113005901,5051,"48113005600,48113005902,48113011200,48113011300,48113005700"
48113005700,4400,"48113005600,48113011300,48113008704,48113008705,48113005901,48113008703,48113008802,48113008801,48113005500"
48113005500,3505,"48113005600,48113005400,48113005700,48113008603,48113004900,48113008900,48113008801"
48113005400,5297,"48113005600,48113006200,48113004800,48113005000,48113004100,48113004900,48113005500"
48113004900,3849,"48113005400,48113004800,48113004100,48113008900,48113005500"
48113009101,5684,"48113009000,48113009201,48113008500,48113009104,48113008400,48113011500,48113009103"
48113008500,4933,"48113009000,48113008400,48113012206,48113012207,48113009101"
48113008400,9859,"48113008500,48113002701,48113012206,48113012207,48113012208,48113001202,48113002500,48113011500,48113009101"
48113008200,3933,"48113012900,48113012702,48113012209,48113008100,48113012400,48113012800"
48113008100,6265,"48113012900,48113012208,48113001202,48113012209,48113012400,48113008200,48113008000,48113000100"
48113008000,6525,"48113000201,48113001102,48113013004,48113012900,48113007809,48113008100,48113007902,48113000100"
48227950700,3335,"48227950900,48227950600,48227950400,48227950500"
48227950600,4141,"48227950900,48227950100,48227950300,48227950700,48227950500"
48227950400,3343,"48227950900,48227950300,48227950700,48227950802,48227950801,48227950500"
48227950300,2242,"48227950900,48227950100,48227950600,48227950400,48227950500"
48113013104,887,"48113007822,48113013102,48113013105,48113007823,48113007801"
