state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
IA, lcut, 99, 4, 764441, 772123, 17709.15, 2.38, 17846.36, 0.31, 17846.36, 0.04, 17846.36, 0.03, 0.93, 0.04, 2.81, 2, 0.00, 0, 0.57, 17846.36, 0.00, 17846.36, 1, Y
ID, cut, 44, 2, 779366, 787198, 57058.74, 0.11, 61062.12, 0.04, 61062.12, 0.01, 61062.12, 0.01, 0.36, 0.04, 0.20, 1, 0.00, 0, 0.52, 61062.12, 0.00, 61062.12, 1, Y
ID, cut, 44, 2, 783610, 791484, 55921.61, 0.14, 60189.93, 0.03, 60189.93, 0.01, 60534.67, 0.02, 0.32, 0.06, 0.26, 5, 0.00, 7, 0.56, 60534.67, 0.00, 60534.67, 1, Y
ID, cut, 44, 2, 777601, 785415, 56835.14, 0.11, 60828.54, 0.04, 60828.54, 0.01, 60828.54, 0.01, 0.37, 0.03, 0.19, 1, 0.00, 0, 0.51, 60828.54, 0.00, 60828.54, 1, Y
ID, cut, 44, 2, 786939, 794846, 57738.36, 0.08, 62147.68, 0.04, 62147.68, 0.01, 62147.68, 0.01, 0.29, 0.03, 0.17, 1, 0.00, 0, 0.49, 62147.68, 0.00, 62147.68, 1, Y
ID, cut, 44, 2, 791591, 799546, 58023.10, 0.11, 62447.04, 0.03, 62447.04, 0.01, 62776.05, 0.02, 0.32, 0.06, 0.24, 3, 0.00, 2, 0.56, 62776.05, 0.00, 62776.05, 1, Y
ID, cut, 44, 2, 803945, 812023, 57445.68, 0.11, 62168.75, 0.03, 62168.75, 0.01, 62447.67, 0.02, 0.31, 0.06, 0.23, 5, 0.00, 6, 0.57, 62447.67, 0.00, 62447.67, 1, Y
ID, cut, 44, 2, 793320, 801293, 56664.38, 0.11, 60834.50, 0.03, 60834.50, 0.01, 60834.50, 0.01, 0.34, 0.03, 0.19, 1, 0.00, 0, 0.55, 60834.50, 0.00, 60834.50, 1, Y
ID, cut, 44, 2, 779592, 787426, 56252.42, 0.11, 61206.79, 0.04, 61206.79, 0.01, 61490.10, 0.02, 0.25, 0.05, 0.22, 3, 0.00, 2, 0.59, 61490.10, 0.00, 61490.10, 1, Y
ID, cut, 44, 2, 768197, 775916, 55957.91, 0.10, 60151.66, 0.04, 60151.66, 0.01, 60151.66, 0.01, 0.34, 0.04, 0.19, 1, 0.00, 0, 0.52, 60151.66, 0.00, 60151.66, 1, Y
ID, cut, 44, 2, 786811, 794718, 57904.62, 0.11, 62807.18, 0.03, 62807.18, 0.01, 63154.08, 0.02, 0.29, 0.05, 0.22, 4, 0.00, 5, 0.57, 63154.08, 0.00, 63154.08, 1, Y
ID, lcut, 44, 2, 779366, 787198, 57058.74, 0.11, 61062.12, 0.04, 61062.12, 0.01, 61062.12, 0.01, 0.36, 0.04, 0.20, 1, 0.00, 0, 0.52, 61062.12, 0.00, 61062.12, 1, Y
ID, lcut, 44, 2, 783610, 791484, 55921.61, 0.10, 60189.93, 0.03, 60189.93, 0.01, 60534.67, 0.02, 0.32, 0.06, 0.22, 5, 0.00, 7, 0.56, 60534.67, 0.00, 60534.67, 1, Y
ID, lcut, 44, 2, 777601, 785415, 56835.14, 0.11, 60828.54, 0.04, 60828.54, 0.01, 60828.54, 0.01, 0.37, 0.03, 0.19, 1, 0.00, 0, 0.51, 60828.54, 0.00, 60828.54, 1, Y
ID, lcut, 44, 2, 786939, 794846, 57738.36, 0.08, 62147.68, 0.03, 62147.68, 0.01, 62147.68, 0.01, 0.29, 0.03, 0.17, 1, 0.00, 0, 0.49, 62147.68, 0.00, 62147.68, 1, Y
ID, lcut, 44, 2, 791591, 799546, 58023.10, 0.11, 62447.04, 0.03, 62447.04, 0.01, 62776.05, 0.02, 0.32, 0.06, 0.24, 3, 0.00, 2, 0.56, 62776.05, 0.00, 62776.05, 1, Y
