state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
VA, hess, 1907, 11, 723729, 731002, 12836.67, 11.22, 13817.93, 96.63, 13814.08, 282.58, n/a, n/a, 0.20, 3600.38, 3998.52, n/a, n/a, n/a, 0.03, 13814.08, 100.00, 0.00, 0, Y
VT, hess, 184, 1, 622613, 628869, 3390.86, 0.06, 3390.86, 0.01, 3390.86, 0.00, n/a, n/a, 0.99, 0.00, 0.07, n/a, n/a, n/a, 0.01, 3390.86, 0.00, 3390.86, 0, Y
WA, hess, 1458, 10, 669092, 675816, 12376.66, 5.70, 12604.21, 37.95, 12604.21, 9.47, n/a, n/a, 0.53, 3609.80, 3665.72, n/a, n/a, n/a, 0.02, 12604.21, 100.00, 0.00, 0, Y
WI, hess, 1409, 8, 707319, 714427, 16272.83, 5.34, 16373.86, 19.87, 16340.39, 8.83, n/a, n/a, 0.79, 3600.04, 3635.35, n/a, n/a, n/a, 0.02, 16311.75, 0.24, 16272.94, 1, Y
WV, hess, 484, 3, 614577, 620753, 10789.79, 0.52, 11801.80, 0.56, 11801.80, 0.10, n/a, n/a, 0.48, 3600.01, 3601.54, n/a, n/a, n/a, 0.02, 11801.80, 6.57, 11026.27, 322, Y
WY, hess, 132, 1, 560808, 566444, 27412.80, 0.07, 27412.80, 0.02, 27412.80, 0.01, n/a, n/a, 0.99, 0.00, 0.11, n/a, n/a, n/a, 0.02, 27412.80, 0.00, 27412.80, 0, Y
AK, cut, 167, 1, 706680, 713782, 167255.05, 0.21, 167255.05, 0.01, 167255.05, 0.00, 167255.05, 0.01, 0.99, 0.00, 0.23, 1, 0.00, 0, 0.02, 167255.05, 0.00, 167255.05, 0, Y
AL, cut, 1181, 7, 679406, 686233, 13058.24, 16.97, 13551.28, 11.06, 13510.26, 6.39, 13510.26, 0.63, 0.68, 3600.04, 3636.43, 1, 0.01, 0, 0.02, 13510.26, 3.18, 13080.87, 1, Y
AR, cut, 686, 4, 725335, 732624, 15490.50, 5.47, 15565.41, 3.59, 15565.41, 0.25, 15569.97, 0.25, 0.97, 14.99, 24.63, 3, 0.00, 5, 0.02, 15569.97, 0.00, 15569.97, 353, Y
AZ, cut, 1526, 9, 706674, 713775, 29479.16, 31.11, 30224.79, 20.80, 30219.11, 61.42, 30220.39, 6.34, 0.33, 3600.19, 3724.21, 1, 0.03, 0, 0.02, 30220.39, 100.00, 0.00, 0, Y
CA, cut, 8057, 53, 699391, 706419, 26238.24, 983.67, 27544.62, 5217.02, 27544.62, 16730.28, (big number edited), 3605.35, 0.00,
CO, cut, 1249, 7, 714865, 722048, 19715.16, 19.57, 19920.94, 12.53, 19916.43, 3.64, 19918.36, 1.33, 0.53, 3606.28, 3645.47, 2, 0.03, 9, 0.02, 19918.36, 1.02, 19715.23, 1, Y
CT, cut, 833, 5, 711246, 718393, 1420.41, 8.51, 1422.45, 3.63, 1422.13, 0.84, 1422.13, 0.27, 0.99, 6.96, 20.27, 3, 0.00, 0, 0.01, 1422.13, 0.00, 1422.13, 149, Y
DE, cut, 218, 1, 893445, 902423, 2297.33, 0.42, 2297.33, 0.01, 2297.33, 0.00, 2297.33, 0.01, 1.00, 0.00, 0.44, 1, 0.00, 0, 0.01, 2297.33, 0.00, 2297.33, 0, Y
FL, cut, 4245, 27, 692864, 699826, 14766.11, 273.22, 15252.19, 1037.26, 15222.31, 6645.82, 15225.47, 128.89, 0.65, 3600.36, 11704.16, 1, 0.19, 0, 0.05, 15225.47, 100.00, 0.00, 0, Y
GA, cut, 1969, 14, 688516, 695435, 15836.59, 50.13, 15961.65, 128.88, 15955.65, 111.55, 15955.65, 2.56, 0.79, 3611.27, 3906.87, 1, 0.03, 0, 0.03, 15955.65, 100.00, 0.00, 0, Y
HI, cut, 351, 2, 676750, 683551, 13990.50, 1.64, 13993.43, 0.15, 13991.27, 0.04, 13991.95, 0.10, 1.00, 0.01, 1.96, 11, 0.00, 20, 0.02, 13991.63, 0.00, 13991.63, 268, Y
IA, cut, 825, 4, 757781, 765396, 18164.68, 8.31, 18202.13, 2.34, 18202.13, 0.37, 18206.43, 0.66, 0.97, 39.99, 51.78, 24, 0.05, 16, 0.03, 18176.37, 0.00, 18176.37, 2286, Y
ID, cut, 298, 2, 779873, 787709, 53913.93, 1.14, 53930.05, 0.13, 53930.05, 0.04, 53916.36, 0.03, 1.00, 0.00, 1.35, 1, 0.00, 0, 0.03, 53916.36, 0.00, 53916.36, 1, Y
IL, cut, 3123, 18, 709249, 716376, 15815.07, 129.23, 16086.19, 571.98, 16067.49, 13748.00, 16091.05, 83.99, 0.55, 3600.25, 18145.84, 1, 0.10, 0, 0.04, 16091.05, 100.00, 0.00, 0, Y
IN, cut, 1511, 9, 716821, 724024, 11061.11, 27.96, 11084.81, 22.80, 11084.81, 5.01, 11085.37, 4.46, 0.97, 3600.05, 3660.59, 15, 0.10, 9, 0.03, 11081.76, 0.03, 11078.06, 134431, Y
KS, cut, 770, 4, 709714, 716845, 22654.34, 6.58, 22786.63, 2.61, 22786.63, 0.43, 22786.69, 0.83, 0.85, 660.25, 670.97, 4, 0.01, 9, 0.02, 22786.69, 0.00, 22786.69, 2653, Y
KY, cut, 1115, 6, 719612, 726843, 14793.25, 14.74, 14835.66, 8.35, 14833.72, 1.95, 14835.16, 0.97, 0.96, 2354.22, 2380.42, 2, 0.01, 4, 0.02, 14835.16, 0.00, 14835.16, 118606, Y
LA, cut, 1148, 6, 751785, 759339, 13805.17, 16.50, 14832.01, 9.83, 14829.56, 2.72, 14830.45, 1.37, 0.48, 3600.10, 3632.48, 1, 0.01, 0, 0.02, 14830.45, 6.21, 13909.56, 4, Y
MA, cut, 1478, 9, 723877, 731151, 2558.82, 28.29, 2635.41, 28.05, 2626.48, 22.62, 2627.03, 3.08, 0.57, 3606.83, 3691.60, 1, 0.02, 0, 0.02, 2627.03, 100.00, 0.00, 0, Y
MD, cut, 1406, 8, 718086, 725302, 5079.56, 26.01, 5084.73, 20.59, 5084.47, 5.94, 5084.53, 3.22, 0.95, 3600.01, 3656.17, 3, 0.02, 12, 0.02, 5084.53, 0.02, 5083.39, 1075, Y
ME, cut, 358, 2, 660860, 667501, 7713.30, 1.73, 7716.04, 0.15, 7716.04, 0.04, 7716.04, 0.03, 1.00, 0.00, 1.96, 1, 0.00, 0, 0.01, 7716.04, 0.00, 7716.04, 0, Y
MI, cut, 2813, 14, 702445, 709504, 24569.50, 111.70, 24852.60, 73.55, 24685.68, 699.35, 24686.55, 15.51, 0.71, 3600.39, 4507.24, 1, 0.07, 0, 0.02, 24686.55, 100.00, 0.00, 0, Y
MN, cut, 1338, 8, 659676, 666305, 24207.22, 22.86, 24399.86, 14.94, 24220.52, 170.96, 24224.19, 31.21, 0.87, 3600.02, 3840.75, 8, 0.09, 27, 0.02, 24224.19, 0.03, 24217.35, 1, Y
MO, cut, 1393, 8, 744873, 752358, 18830.09, 22.65, 21214.64, 22.86, 21214.38, 6.25, 21222.79, 2.33, 0.44, 3600.12, 3657.27, 1, 0.02, 0, 0.02, 21222.79, 100.00, 0.00, 0, Y
MS, cut, 664, 4, 738116, 745533, 16295.54, 5.05, 16303.82, 1.62, 16303.82, 0.19, 16308.89, 0.24, 1.00, 0.19, 7.32, 5, 0.00, 0, 0.02, 16305.45, 0.00, 16305.45, 1, Y
MT, cut, 271, 1, 984468, 994362, 55985.28, 0.59, 55985.28, 0.01, 55985.28, 0.00, 55985.28, 0.01, 1.00, 0.00, 0.62, 1, 0.00, 0, 0.01, 55985.28, 0.00, 55985.28, 0, Y
