state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
MO, cut, 115, 8, 744873, 752358, 20102.72, 0.12, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.18, 0, 0.00, 0, 1.33, infeasible, , , 0, N
MS, cut, 82, 4, 738116, 745533, 16087.71, 0.08, 16142.04, 0.34, 16142.04, 0.05, 16142.04, 0.02, 0.98, 0.00, 0.49, 1, 0.00, 0, 0.33, 16142.04, 0.00, 16142.04, 0, Y
MT, cut, 56, 1, 984468, 994362, 56690.05, 0.02, 56690.05, 0.01, 56690.05, 0.00, 56690.05, 0.00, 0.98, 0.00, 0.03, 1, 0.00, 0, 0.15, 56690.05, 0.00, 56690.05, 0, Y
NC, cut, 100, 13, 729832, 737166, 16265.51, 0.08, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.13, 0, 0.00, 0, 1.25, infeasible, , , 0, N
ND, cut, 53, 1, 669229, 675953, 21245.45, 0.02, 21245.45, 0.01, 21245.45, 0.00, 21245.45, 0.00, 0.98, 0.00, 0.03, 1, 0.00, 0, 0.22, 21245.45, 0.00, 21245.45, 0, Y
NE, cut, 93, 3, 605737, 611824, 21963.98, 0.09, 22112.00, 0.21, 22112.00, 0.03, 22193.01, 0.10, 0.98, 0.02, 0.45, 9, 0.00, 14, 0.85, 22193.01, 0.00, 22193.01, 15, Y
NH, cut, 10, 2, 654944, 661526, 2597.16, 0.00, 3641.24, 0.01, 3641.24, 0.00, infinity, 0.01, 0.00, 0.09, 0.12, 24, 0.00, 50, 0.61, infeasible, , , 583, N
NJ, cut, 21, 12, 728995, 736321, 5221.40, 0.00, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, 0, 0.00, 0, 1.23, infeasible, , , 0, N
NM, cut, 33, 3, 682962, 689824, 31680.85, 0.01, 32847.05, 0.06, 32847.05, 0.01, 32944.25, 0.02, 0.91, 0.00, 0.10, 4, 0.00, 4, 0.96, 32944.25, 0.00, 32944.25, 1, Y
NV, cut, 17, 4, 671763, 678513, 122585.20, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, 0, 0.00, 0, 2.88, infeasible, , , 0, N
